Site Name ,Alt name or num ,Country ,Y ,X ,Refrences ,14C,Bot ,Zoo
Ndtoua,ECA-164,Cameroon,3.07,10.29,(Lavachery et al. 2010),,,
Nfeitok 1  ,,Cameroon,5.54,9.35,(Oslisly et al. 2013; Oslisly et al. 2000),yes,,
Ngoko island,,Cameroon,1.98,15.6,(Oslisly et al. 2013),yes,,
Ngoume PK 35,,Cameroon,5.51,11.42,(Delneuf et al. 2003; Oslisly et al. 2013),yes,yes,
Ngoume Pk 36,,Cameroon,5.51,11.42,(Delneuf et al. 2003; Oslisly et al. 2013),yes,yes,
Ngoume Pk37,,Cameroon,5.51,11.42,(Clist 2005; Delneuf et al. 2003),,yes,
Ngoumou,ECA-220,Cameroon,3.61,11.32,(Lavachery et al. 2010),,,
Ngoumou,ECA-222,Cameroon,3.61,11.32,(Lavachery et al. 2010),,,
Ngoumou,ECA-216,Cameroon,3.6,11.32,(Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Ngoumou,ECA-218,Cameroon,3.72,11.37,(Lavachery et al. 2010),,,
Nguila,,Cameroon,4.7,11.67,(Delneuf et al. 1998; Elouga 1998; Oslisly et al. 2013),yes,,
Ngweu,,Cameroon,5.52,11.28,(Delneuf et al. 2003; Oslisly et al. 2013),yes,yes,
Nkang,,Cameroon,4.15,11.27,(Mbida et al. 2000; Oslisly et al. 2013),yes,yes,yes
Nkoayos,ECA-303,Cameroon,4.31,11.76,(Lavachery et al. 2010),,,
Nkoelon,ECA-202,Cameroon,3.58,11.31,(Lavachery et al. 2010),,,
Nkolnlong,ECA-204,Cameroon,3.46,11.21,(Lavachery et al. 2010),,,
Nkolnlong,ECA-268,Cameroon,3.5,11.27,(Lavachery et al. 2010),,,
Nkometou,ECA-270,Cameroon,4.02,11.49,(Lavachery et al. 2010),,,
Nkometou,ECA-238,Cameroon,4.05,11.53,(Lavachery et al. 2010),,,
Nkometou,ECA-240,Cameroon,4.07,11.55,(Lavachery et al. 2010),,,
Nkometou,,Cameroon,4.03,11.55,(Delneuf et al. 1998; Essomba 1998; Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,,
Nkpwala-Esse,,Cameroon,2.94,12.06,(Meyer et al. 2009; Oslisly et al. 2013),yes,,
Nlendédibé 3,,Cameroon,2.76,9.88,(Nlend Nlend 2002; Oslisly et al. 2013),yes,,
Nzon,ECA-300,Cameroon,6.77,14.42,(Lavachery et al. 2010),,,
Obobogo,,Cameroon,3.82,11.5,(De Maret 1982; De Maret 1985b; De Maret 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,yes,
Obokoue,ECA-224,Cameroon,3.65,11.35,(Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Okolo,,Cameroon,3.93,11.52,(Atangana 1992; Delneuf et al. 1998; Oslisly et al. 2013),yes,,
Oliga,,Cameroon,3.9,11.5,(Delneuf et al. 1998; Essomba 1998; Oslisly et al. 2013),yes,,
Ongot,ECA-279,Cameroon,3.85,11.38,(Lavachery et al. 2005; Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Ossa Big Island,,Cameroon,3.79,10.02,(Oslisly et al. 2013; Wirrmann 1998; Wirrmann and Élouga 1998),yes,yes,
Ossa SAFACAM,,Cameroon,3.79,10.02,(Oslisly et al. 2013; Wirrmann 1998; Wirrmann and Élouga 1998),yes,,
Ozom,ECA-242,Cameroon,3.91,11.42,(Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Pangar,ECA-165,Cameroon,5.53,13.56,(Lavachery et al. 2010),,,
Pangar,ECA-169,Cameroon,5.55,13.57,(Lavachery et al. 2010),,,
Pangar,ECA-193,Cameroon,5.58,13.6,(Lavachery et al. 2010),,,
Pangar,ECA-171,Cameroon,5.58,13.61,(Lavachery et al. 2010),,,
Pangar,ECA-195,Cameroon,5.59,13.62,(Lavachery et al. 2010),,,
Pangar,ECA-173,Cameroon,5.58,13.62,(Lavachery et al. 2010),,,
Pangar,ECA-197,Cameroon,5.59,13.63,(Lavachery et al. 2010),,,
Pangar,ECA-199,Cameroon,5.64,13.72,(Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Pong Solo,,Cameroon,4.12,11.28,(Delneuf et al. 1998; Elouga 1998; Oslisly et al. 2013),yes,,
Pouss,,Cameroon,10.85,15.05,(Delneuf et al. 1998),yes,,
S1P01,S1P01,Cameroon,2.3,10.43,(Morin-Rivat et al. 2016),yes,yes, 
S1P04,S1P04,Cameroon,2.3,10.43,(Morin-Rivat et al. 2016),yes,yes, 
S1P05,S1P05,Cameroon,2.3,10.43,(Morin-Rivat et al. 2016),yes,yes, 
S1P07,S1P07,Cameroon,2.29,10.42,(Morin-Rivat et al. 2016),yes,yes, 
S1P08,S1P08,Cameroon,2.29,10.42,(Morin-Rivat et al. 2016),yes,yes, 
S1P09,S1P09,Cameroon,2.29,10.42,(Morin-Rivat et al. 2016),yes,yes, 
S1P12,S1P12,Cameroon,2.29,10.42,(Morin-Rivat et al. 2016),yes,yes, 
S2P01,S2P01,Cameroon,2.43,10.57,(Morin-Rivat et al. 2016),yes,yes, 
S2P03,S2P03,Cameroon,2.44,10.57,(Morin-Rivat et al. 2016),yes,yes, 
S2P04,S2P04,Cameroon,2.44,10.58,(Morin-Rivat et al. 2016),yes,yes, 
S2P05,S2P05,Cameroon,2.44,10.58,(Morin-Rivat et al. 2016),yes,yes, 
S2P06,S2P06,Cameroon,2.44,10.58,(Morin-Rivat et al. 2016),yes,yes, 
S2P08,S2P08,Cameroon,2.44,10.59,(Morin-Rivat et al. 2016),yes,yes, 
S2P10,S2P10,Cameroon,2.44,10.59,(Morin-Rivat et al. 2016),yes,yes, 
S3P02,S3P02,Cameroon,2.46,10.65,(Morin-Rivat et al. 2016),yes,yes, 
S3P03,S3P03,Cameroon,2.46,10.65,(Morin-Rivat et al. 2016),yes,yes, 
S3P03,S3P03,Cameroon,2.46,10.65,(Morin-Rivat et al. 2016),yes,yes, 
S3P03,S3P03,Cameroon,2.46,10.65,(Morin-Rivat et al. 2016),yes,yes, 
S3P03,S3P03,Cameroon,2.46,10.65,(Morin-Rivat et al. 2016),yes,yes, 
S3P03,S3P03,Cameroon,2.46,10.65,(Morin-Rivat et al. 2016),yes,yes, 
S3P03,S3P03,Cameroon,2.46,10.65,(Morin-Rivat et al. 2016),yes,yes, 
S3P08,S3P08,Cameroon,2.46,10.66,(Morin-Rivat et al. 2016),yes,yes, 
S3P09,S3P09,Cameroon,2.46,10.67,(Morin-Rivat et al. 2016),yes,yes, 
S3P09,S3P09,Cameroon,2.46,10.67,(Morin-Rivat et al. 2016),yes,yes, 
S3P11,S3P11,Cameroon,2.46,10.67,(Morin-Rivat et al. 2016),yes,yes, 
S4P02,S4P02,Cameroon,4.03,14.18,(Morin-Rivat et al. 2016),yes,yes, 
S4P02,S4P02,Cameroon,4.03,14.18,(Morin-Rivat et al. 2016),yes,yes, 
S4P04,S4P04,Cameroon,4.03,14.18,(Morin-Rivat et al. 2016),yes,yes, 
S4P10,S4P10,Cameroon,4.02,14.18,(Morin-Rivat et al. 2016),yes,yes, 
S4P13,S4P13,Cameroon,4.01,14.18,(Morin-Rivat et al. 2016),yes,yes, 
S4P14,S4P14,Cameroon,4.01,14.18,(Morin-Rivat et al. 2016),yes,yes, 
S4P14,S4P14,Cameroon,4.01,14.18,(Morin-Rivat et al. 2016),yes,yes, 
S5P01,S5P01,Cameroon,3.87,14.22,(Morin-Rivat et al. 2016),yes,yes, 
S5P04,S5P04,Cameroon,3.87,14.22,(Morin-Rivat et al. 2016),yes,yes, 
S5P07,S5P07,Cameroon,3.86,14.22,(Morin-Rivat et al. 2016),yes,yes, 
S5P08,S5P08,Cameroon,3.86,14.22,(Morin-Rivat et al. 2016),yes,yes, 
S5P09,S5P09,Cameroon,3.86,14.22,(Morin-Rivat et al. 2016),yes,yes, 
S5P09,S5P09,Cameroon,3.86,14.22,(Morin-Rivat et al. 2016),yes,yes, 
S5P13,S5P13,Cameroon,3.85,14.22,(Morin-Rivat et al. 2016),yes,yes, 
S6P03,S6P03,Cameroon,3.48,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P07,S6P07,Cameroon,3.47,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P09,S6P09,Cameroon,3.47,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P09,S6P09,Cameroon,3.47,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P09,S6P09,Cameroon,3.47,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P09,S6P09,Cameroon,3.47,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P12,S6P12,Cameroon,3.46,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P13,S6P13,Cameroon,3.46,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P15,S6P15,Cameroon,3.45,14.31,(Morin-Rivat et al. 2016),yes,yes, 
S6P16,S6P16,Cameroon,3.45,14.31,(Morin-Rivat et al. 2016),yes,yes, 
Sakoundji,ECA-107,Cameroon,5.03,13.34,(Lavachery et al. 2010),,,
Salak,,Cameroon,10.4,14.33,(Calvocoressi and David 1979; De Maret 1982; De Maret 1985b; De Maret 1992; Delneuf et al. 1998; Kahlheber 2004),yes,yes,
Sangmelima,,Cameroon,2.94,11.99,(De Maret 1985b; De Maret 1992; Delneuf et al. 1998),yes,,
Seka,ECA-258,Cameroon,6.93,14.54,(Lavachery et al. 2010),,,
Seka,ECA-259,Cameroon,6.94,14.55,(Lavachery et al. 2010),,,
Seka,ECA-255,Cameroon,6.93,14.55,(Lavachery et al. 2010),,,
Seka,ECA-261,Cameroon,6.94,14.56,(Lavachery et al. 2010),,,
Shum Laka,,Cameroon,5.85,10.07,(De Maret 1982; De Maret 1992; Delneuf et al. 1998; Lavachery 2001; Oslisly 1993; Oslisly et al. 2013),yes,yes,yes
Sokorta Manga,,Cameroon,7.13,14.83,(Lavachery et al. 2005),yes,,
Sou,,Cameroon,12.2,14.7,(De Maret 1985b; Delibrias et al. 1986; Delneuf et al. 1998; Lanfranchi and Clist 1991),yes,,
Sou Blame Radjil,,Cameroon,12.2,14.68,(De Maret 1985b; Delibrias et al. 1986; Delneuf et al. 1998),yes,,
South of Kribi,,Cameroon,2.89,9.93,(De Maret 1992; Delneuf et al. 1998),yes,,
Sumpa,,Cameroon,9.2,13.56,(Delneuf et al. 1998),yes,,
Tagamaré,Tagamre (=Balda),Cameroon,10.73,14.78,(Delneuf et al. 1998),yes,,
Tapare,ECA-209,Cameroon,5.9,13.84,(Lavachery et al. 2010),,,
Tara Plage,ECA-88,Cameroon,2.91,9.9,(Lavachery et al. 2010),,,
Tchoukol,,Cameroon,10.77,14.3,(Delneuf et al. 1998),yes,,
Tsanaga,CFDT and II,Cameroon,10.58,14.33,(Calvocoressi and David 1979; Delneuf et al. 1998),yes,,
Yagoua,,Cameroon,10.36,15.23,(Calvocoressi and David 1979; Delneuf et al. 1998),yes,,
Yandea,ECA-277,Cameroon,7.15,14.88,(Lavachery et al. 2010),,,
Yatou,,Cameroon,3.6,9.7,(Clist 2005; Oslisly et al. 2013),yes,,
Yébi,ECA-125,Cameroon,4.97,13.32,(Lavachery et al. 2010),yes,,
Yegue Assi,ECA-266,Cameroon,4,11.47,(Lavachery et al. 2010),,,
Yegue Assi,ECA-264,Cameroon,3.99,11.47,(Lavachery et al. 2010),,,
Yong River,ECA-78,Cameroon,4.88,13.2,(Lavachery et al. 2010),,,
Yong River,ECA-76,Cameroon,4.88,13.21,(Lavachery et al. 2010),,,
Yong River,ECA-77,Cameroon,4.88,13.21,(Lavachery et al. 2010),,,
Zaotoupsi,ECA-236,Cameroon,3.81,11.38,(Lavachery et al. 2010),yes,,
Zili,ECA 323,Cameroon,4.49,11.98,(Lavachery et al. 2005; Lavachery et al. 2010; Oslisly et al. 2013),yes,,
Zoatoupsi,ECA-275,Cameroon,3.8,11.38,(Lavachery et al. 2010),,,
Balimbé,,CAR,6.13,15.33,(Livingstone Smith 2007; Oslisly et al. 2013),yes,,
Batalimo,,CAR,3.61,18.18,(Calvocoressi and David 1979; De Maret 1985b; Eggert 1992; Oslisly et al. 2013),yes,,
Becare,,CAR,3.52,16.02,(Lanfranchi et al. 1998; Oslisly et al. 2013),yes,,
Bézongo,,CAR,6.13,15.33,(Oslisly et al. 2013),yes,,
Bobélé 2,,CAR,4.03,18.38,(Oslisly et al. 2013),yes,,
Bouri,,CAR,5.95,16.27,(Oslisly et al. 2013),yes,,
Dokoko 1,,CAR,6.13,15.33,(Oslisly et al. 2013),yes,,
Eyo,,CAR,3.66,18.48,(Oslisly et al. 2013),yes,,
Gbariri 1 - 77,,CAR,6.13,15.33,(Oslisly et al. 2013; Zangato 1995),yes,,
Gbatoro,,CAR,6.13,15.33,(Linseele 2007),yes,, 
Gobongo I,,CAR,4.42,18.55,(Oslisly et al. 2013),yes,,
GTP 1B A1 / 150,,CAR,6.18,20.73,(Oslisly et al. 2013),yes,, 
Kaolo 2,,CAR,3.45,15.95,(Oslisly et al. 2013),yes,,
Ko Bi Doé,,CAR,6.3,15.9,(De Maret 1985b),yes,,
Lingbangbo,,CAR,3.82,18.53,(Oslisly et al. 2013),yes,,
Mbili 2,,CAR,6.13,15.33,(Oslisly et al. 2013),yes,,
Mondongué,,CAR,3.65,18.56,(Oslisly et al. 2013),yes,,
Nana-Modé village site,,CAR,6.32,15.1,(Calvocoressi and David 1979),yes,, 
Ndio,,CAR,6.13,15.33,(Oslisly et al. 2013),yes,,
Ngara,,CAR,4.03,18.38,(Oslisly et al. 2013),yes,,
Ôbui,,CAR,6.13,15.33,(Linseele 2007),yes,, 
Sabele 1,,CAR,3.33,16.17,(Lanfranchi et al. 1998),yes,,
Sabele 2,,CAR,3.33,16.17,(Lanfranchi et al. 1998),yes,,
Sikilongo,,CAR,3.65,18.56,(Oslisly et al. 2013),yes,,
Site 68,,CAR,6.13,15.33,(Oslisly et al. 2013),yes,,
Tanga 2,,CAR,3.52,16.05,(Clist 2005; Oslisly et al. 2013),yes,,
Tazunu Balimbe 1,,CAR,6.13,15.33,(Oslisly 1993; Oslisly et al. 2013; Zangato 1995),yes,,
Tazunu Balimbe 2,,CAR,6.13,15.33,(Calvocoressi and David 1979; Lanfranchi and Clist 1991; Oslisly et al. 2013; Zangato 1995),yes,,
Tazunu Balimbe 9,,CAR,6.13,15.33,(Lanfranchi and Clist 1991; Oslisly et al. 2013; Zangato 1995),yes,,
Tazunu Beforo I,,CAR,5.9,15.55,(Lanfranchi and Clist 1991),yes,, 
Tazunu Betume,,CAR,6.13,15.33,(Calvocoressi and David 1979; Lanfranchi and Clist 1991; Oslisly et al. 2013; Zangato 1995),yes,,
Tazunu Beyole,,CAR,6.13,15.33,(Oslisly et al. 2013; Posnansky and McIntosh 1976; Zangato 1995),yes,,
Tazunu Tia,,CAR,6.13,15.33,(Oslisly et al. 2013; Zangato 1995),yes,,
Tazunu Zupaya,,CAR,6.13,15.33,(Lanfranchi and Clist 1991; Oslisly et al. 2013; Posnansky and McIntosh 1976; Zangato 1995),yes,,
Té-Ndongué,,CAR,5.72,18,(Oslisly et al. 2013),yes,,
Toala,,CAR,6.35,15.98,(De Maret 1985b; Oslisly et al. 2013),yes,,
Agadem,,Chad,16.88,13.32,(Manning and Timpson 2014),yes,, 
Amkoundjo,,Chad,12.17,14.98,(Delibrias et al. 1970),yes,, 
Badila ,ETA-173 ,Chad,8.35,16.31,(Lavachery et al. 2005),yes,,
Bahali,,Chad,16.22,18.43,(Delibrias et al. 1986; Ndong 2000),yes,, 
Beboura ,ETA-46 ,Chad,8.53,16.74,(Lavachery et al. 2005),yes,,
Bedia,ETA-36/121,Chad,8.19,16.36,(Lavachery et al. 2010),,,
Bedia,ETA-119/120,Chad,8.19,16.37,(Lavachery et al. 2010),,,
Bedia ,ETA-35 ,Chad,8.19,16.36,(Lavachery et al. 2005),yes,,
Begada,ETA-85/87,Chad,8.53,16.75,(Lavachery et al. 2010),,,yes
Begon II,ETA-25/127-128,Chad,8.09,16.25,(Lavachery et al. 2005),yes,,yes
Begon II,ETA-126,Chad,8.09,16.26,(Lavachery et al. 2010),,,
Begon II (chef du village),ETA-166 ,Chad,8.08,16.27,(Lavachery et al. 2005; Oslisly 1993),yes,,
Bekia ,ETA-175 ,Chad,8.51,16.71,(Lavachery et al. 2005),yes,,
Beto,ETA-102,Chad,8.35,16.56,(Lavachery et al. 2010),yes,,
Bochianga,,Chad,16.27,18.27,(Delibrias et al. 1986; Posnansky and McIntosh 1976),yes,, 
Diba I,ETA-006/135,Chad,7.75,15.81,(Lavachery et al. 2010),,,
Diba I ,ETA-004/136,Chad,7.74,15.8,(Lavachery et al. 2010),,,
Dodang ,ETA-188 ,Chad,8.55,16.79,(Lavachery et al. 2005; Lavachery et al. 2010),yes,,
Goz Kerki,,Chad,15.58,18.67,(Delibrias et al. 1986),yes,, 
Kaba,ETA-107,Chad,8.29,16.47,(Lavachery et al. 2005),yes,,
Kagopal,ETA-75,Chad,8.26,16.42,(Lavachery et al. 2010),yes,,
Karmankass ,ETA-167 ,Chad,8.69,16.44,(Lavachery et al. 2005),yes,,
Kebir Rosa ,Site 34 A and B,Chad,16.08,18.75,(Delibrias et al. 1986),yes,, 
Kolle,ETA-39,Chad,8.24,16.41,(Lavachery et al. 2010),,,
Kolle ,ETA-40 ,Chad,8.24,16.42,(Lavachery et al. 2005),yes,,
Komé Base,ETA-86,Chad,8.53,16.74,(Lavachery et al. 2010),yes,,
Komé Base,ETA-88/94,Chad,8.53,16.75,(Lavachery et al. 2010),,,
Koro Toro ,Site 4A - E,Chad,16.06,18.5,(Delibrias et al. 1986),yes,, 
Krimé ,site 3A and B,Chad,15.08,18.47,(Delibrias et al. 1986),yes,, 
Maikery,ETA-170,Chad,8.51,16.55,(Lavachery et al. 2010),,,
Mayongo,ETA-97 ,Chad,8.44,16.63,(Lavachery et al. 2005),yes,,
Mban I ,ETA-69,Chad,8.07,16.18,(Lavachery et al. 2005),yes,,
Mdaga,,Chad,12.18,15.17,(Delibrias et al. 1970; Linseele 2007),yes,, 
Messo,,Chad,13.75,14.22,(Delibrias et al. 1986; Delibrias et al. 1970; Posnansky and McIntosh 1976),yes,, 
Miandoum,ETA-178,Chad,8.51,16.56,(Lavachery et al. 2010),,,
Missi Madji ,ETA-164,Chad,8.54,16.78,(Lavachery et al. 2005),yes,,
Nemra,,Chad,16.28,18.55,(Delibrias et al. 1986),yes,, 
Ngon Mbang ,ETA-165 ,Chad,8.53,16.75,(Lavachery et al. 2005),yes,,
Ouao,ETA-38/110,Chad,8.23,16.41,(Lavachery et al. 2010),,,
Oulibangala,ETA-56,Chad,7.83,15.83,(Lavachery et al. 2010),,,
Toungour Salado,,Chad,15.94,18.46,(Delibrias et al. 1986),yes,, 
Zaouar,Zouar,Chad,20.48,16.58,(Posnansky and McIntosh 1976),yes,, 
Bacongo,,Congo,-4.28,15.27,(De Maret 1985b; Oslisly et al. 2013),yes,,
Baï Bomassa,,Congo,2.18,16.17,(De Maret 1985a; Morin-Rivat et al. 2014),yes,yes,
Biala cave,,Congo,-3.5,13,(Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,,
Bime,,Congo,-4.18,15.15,(Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,,
Bittori Cave,,Congo,-3.9,14.5,(Oslisly et al. 2013),yes,,
Bomassa,1 and 2,Congo,2.15,16.17,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,yes,
BP113,,Congo,-4.35,11.58,(Denbow 2012; Oslisly et al. 2013),yes,, 
Condé,,Congo,-4.58,11.95,(Denbow 2012; Oslisly et al. 2013),yes,,
Djaka River,,Congo,1.62,16.43,(Morin-Rivat et al. 2014),yes,, 
Djambala,,Congo,-2.9,14.92,(Oslisly et al. 2013),yes,,
Ebaleki River,,Congo,3.21,17.51,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,yes,
Fignou 1,,Congo,-4.56,11.98,(Denbow 2012; Oslisly et al. 2013),yes,,
Fignou 4,,Congo,-4.56,11.98,(Denbow 2012; Oslisly et al. 2013),yes,,
Ganda-Kimpese,,Congo,-4.4,12.38,(Oslisly et al. 2013; Schwartz et al. 1991),yes,,
Gangalingolo,,Congo,-4.22,14.15,(De Maret 1985b; Oslisly et al. 2013),yes,,
Gray sand,,Congo,-4.39,11.65,(Denbow 2012; Oslisly et al. 2013),yes,,
Ikelemba 1,,Congo,1.23,16.51,(Morin-Rivat et al. 2014),yes,, 
Ikelemba 2,,Congo,1.23,16.53,(Morin-Rivat et al. 2014),yes,yes, 
Ikelemba 3,,Congo,1.22,16.54,(Morin-Rivat et al. 2014),yes,, 
Ilamba 1,,Congo,1.24,16.64,(Morin-Rivat et al. 2014),yes,yes, 
Ilamba 2,,Congo,1.2,16.63,(Morin-Rivat et al. 2014),yes,yes, 
Imbama,,Congo,-3.45,15.7,(Oslisly et al. 2013),yes,,
Impe,,Congo,-2.7,15.28,(Oslisly et al. 2013),yes,,
Ingamfini 1,,Congo,-3.88,15.67,(Oslisly et al. 2013),yes,,
Ingamfini 2,,Congo,-3.85,15.65,(Oslisly et al. 2013),yes,,
Ingolo,,Congo,-3.47,15.33,(Oslisly et al. 2013),yes,,
Inoni,,Congo,-3.03,15.33,(Oslisly et al. 2013),yes,,
Inoni Falaise,,Congo,-3.02,15.67,(Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,,
Itebe,,Congo,-3.63,15.22,(Oslisly et al. 2013),yes,,
Kabo,,Congo,2.12,16.15,(Morin-Rivat et al. 2014),yes,, 
Kankouara 1,,Congo,-2.32,14.53,(Oslisly et al. 2013),yes,,
Kayes,,Congo,-4.43,11.7,(Denbow 2012; Oslisly et al. 2013),yes,,
Kibouende,,Congo,-4.15,15.2,(Lanfranchi and Clist 1991),,, 
Kitsounga 1,,Congo,-3.97,14.93,(Oslisly et al. 2013),yes,,
Komo River,,Congo,1.54,16.6,(Morin-Rivat et al. 2014),yes,yes, 
Konga,,Congo,-2.23,12.78,(Oslisly et al. 2013),yes,,
Lac Ndembo,,Congo,-4.35,11.65,(Oslisly et al. 2013),yes,,
Lac Tchitembo,,Congo,-4.18,11.38,(Denbow 2012; Oslisly et al. 2013),yes,,
Lamba,,Congo,-4.36,11.59,(Denbow 2012; Oslisly et al. 2013),yes,,
Landjoué,,Congo,0.76,15.36,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,yes,
Lékana,,Congo,-2.33,14.58,(Oslisly et al. 2013),yes,,
Likwala,,Congo,0.15,17.38,(Eggert 1992; Oslisly et al. 2013),yes,,
Liouesso,,Congo,1.05,15.69,(De Maret 1985a; Morin-Rivat et al. 2014),yes,yes, 
Lopola,,Congo,3.03,17.27,(Morin-Rivat et al. 2014),yes,, 
Loubanzi,,Congo,-4.53,11.88,(Denbow 2012; Oslisly et al. 2013),yes,,
Loukoko I,,Congo,-4.52,14.6,(Oslisly et al. 2013),yes,,
Loundoungou,,Congo,2.39,17,(Morin-Rivat et al. 2014),yes,yes, 
Madingo-Kayes,,Congo,-4.43,11.7,(Denbow 1990; Denbow 2012; Oslisly et al. 2013),yes,,
Mafamba,,Congo,-3.37,16.18,(Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,,
Mah 1,,Congo,-3.35,15.5,(Clist 2005; Oslisly et al. 2013),yes,,
Makuti,,Congo,-4.27,14.41,(Clist 2005),,, 
Mambili river,,Congo,0.49,15.43,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,yes,
Mare du Flec,,Congo,-4.6,12.14,(Lanfranchi and Clist 1991),yes,yes, 
Masamasa 1,,Congo,-3.88,14.88,(Oslisly et al. 2013),yes,,
Mayombe,,Congo,-4.5,12.5,(D’Andrea et al. 2006),yes,yes, 
Meningue,,Congo,-4.43,11.7,(Denbow 1990; Denbow 2012; Oslisly et al. 2013),yes,,
Mitula,,Congo,0.03,17.12,(Eggert 1992; Oslisly et al. 2013),yes,,
Mobaka,,Congo,0.47,17.18,(Eggert 1992; Oslisly et al. 2013),yes,,
Mokobo,,Congo,2.1,16.27,(Morin-Rivat et al. 2014),yes,yes, 
Mont Barnier,,Congo,-4.12,15.09,(Lanfranchi and Clist 1991),yes,, 
Moubiri,,Congo,-4.02,14.01,(Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,, 
Moussanda,,Congo,-3.94,13.72,(Oslisly et al. 2013),yes,,
Mpassa ferme,,Congo,-4.3,14.27,(De Maret 1985b; Oslisly et al. 2013),yes,,
Munda,,Congo,1,17.18,(Eggert 1992; Oslisly et al. 2013),yes,,
Mvindou,,Congo,-4.52,11.95,(Denbow 2012; Oslisly et al. 2013),yes,,
Ndati Yomba,Ntadi Yomba,Congo,-4.25,13.77,(De Maret 1982; De Maret 1985b; Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,,
Ndoki river,,Congo,2.05,16.37,(Morin-Rivat et al. 2014; Oslisly et al. 2013),yes,yes,
Ngidi,,Congo,-4.05,15.1,(Oslisly et al. 2013),yes,,
Ngombé,,Congo,1.48,16.14,(Morin-Rivat et al. 2014),yes,yes, 
Ngoulonkila,,Congo,-2.43,14.58,(Oslisly et al. 2013),yes,,
Ngoulonkila 2,,Congo,-2.42,14.58,(Oslisly et al. 2013),yes,,
Ntsimou,,Congo,-3.55,15.22,(Oslisly et al. 2013),yes,,
Nzabi,,Congo,-2.38,14.45,(De Maret 1985b; Oslisly et al. 2013),yes,,
Obelango,,Congo,-1.21,15.57,(Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,, 
Oka,,Congo,-3.58,15.25,(Oslisly et al. 2013),yes,,
Okieni,,Congo,-3.17,16.05,(Oslisly et al. 2013),yes,,
Ongia,,Congo,-2.43,14.98,(Oslisly et al. 2013),yes,,
Ossa,,Congo,-2.52,15.25,(Oslisly et al. 2013),yes,,
Pikounda 1,,Congo,1.45,16.1,(Morin-Rivat 2017; Morin-Rivat et al. 2014),yes,yes, 
Pikounda 2,,Congo,1.45,16.11,(Morin-Rivat 2017; Morin-Rivat et al. 2014),yes,yes, 
Pikunda,,Congo,-0.5,16.67,(Eggert 1992; Oslisly et al. 2013),yes,,
Pointe Noire,,Congo,-4.77,11.87,(De Maret 1982; De Maret 1985b; De Maret 1990; Oslisly et al. 2013),yes,,
Pokola 1,,Congo,1.29,16.57,(Morin-Rivat et al. 2014),yes,yes, 
Pokola 2,,Congo,1.26,16.57,(Morin-Rivat et al. 2014),yes,yes, 
Potoli River,,Congo,3.29,16.78,(Morin-Rivat 2017; Morin-Rivat et al. 2014),yes,, 
Tandou-Youmbi,,Congo,-4.42,11.7,(Denbow 1990; Denbow 2012; Oslisly et al. 2013),yes,,
Tchissanga,,Congo,-4.53,11.79,(De Maret 1990; Denbow 1990; Denbow 2012; Lanfranchi and Clist 1991; Oslisly et al. 2013),yes,yes,
Tsabouka,,Congo,-4.25,14.42,(Lanfranchi and Clist 1991),yes,,
YGO F15   20,,Congo,0.41,15.41,(Oslisly et al. 2013),yes,, 
Amba,,DRC,-4.28,15.28,(Oslisly et al. 2013),yes,,
Bamanya,,DRC,-0.02,18.33,(De Maret 1985b; Oslisly et al. 2013),yes,,
Baringa,Fpl. 161,DRC,0.73,20.74,(Oslisly et al. 2013),yes,yes,
Bokele,,DRC,-0.08,18.58,(De Maret 1985b; Eggert 1992; Oslisly et al. 2013),yes,,
Bokuma,Fpl. 18,DRC,-0.1,18.72,(Eggert 1992; Kahlheber 2004; Oslisly et al. 2013),yes,yes,
Bolondo,Fpl. 96,DRC,-0.3,21.3,(Oslisly et al. 2013),yes,yes,
Boma,,DRC,-5.85,13.07,(De Maret 1985b; Oslisly et al. 2013),yes,,
Boso-Njafo,,DRC,1.12,19.23,(Eggert 1992; Oslisly et al. 2013),yes,yes,
